Date,AAPL,MSFT,NVDA,TSLA,^GSPC
2022-01-03,178.1036834716797,323.1607971191406,30.061141967773438,399.9266662597656,4796.56005859375
2022-01-04,175.84324645996094,317.6195068359375,29.231792449951172,383.1966552734375,4793.5400390625
2022-01-05,171.1658477783203,305.4267883300781,27.54914093017578,362.7066650390625,4700.580078125
2022-01-06,168.30848693847656,303.0133361816406,28.121999740600586,354.8999938964844,4696.0498046875
2022-01-07,168.47486877441406,303.16778564453125,27.19285011291504,342.32000732421875,4677.02978515625
2022-01-10,168.494384765625,303.3898010253906,27.345542907714844,352.7066650390625,4670.2900390625
2022-01-11,171.32240295410156,304.0752868652344,27.761716842651367,354.79998779296875,4713.06982421875
2022-01-12,171.76275634765625,307.25128173828125,27.943357467651367,368.739990234375,4726.35009765625
2022-01-13,168.494384765625,294.24761962890625,26.522186279296875,343.85333251953125,4659.02978515625
2022-01-14,169.35557556152344,299.4607849121094,26.88845443725586,349.8699951171875,4662.85009765625
2022-01-18,166.1556854248047,292.1721496582031,25.851518630981445,343.5033264160156,4577.10986328125
2022-01-19,162.6623077392578,292.8285827636719,25.01717758178711,331.8833312988281,4532.759765625
2022-01-20,160.97927856445312,291.1584777832031,24.102008819580078,332.0899963378906,4482.72998046875
2022-01-21,158.92431640625,285.78131103515625,23.327547073364258,314.6333312988281,4397.93994140625
2022-01-24,158.15126037597656,286.1094665527344,23.32554817199707,310.0,4410.1298828125
2022-01-25,156.35079956054688,278.5023193359375,22.279632568359375,306.1333312988281,4356.4501953125
2022-01-26,156.2626953125,286.4377136230469,22.726741790771484,312.4700012207031,4349.93017578125
2022-01-27,155.8027801513672,289.4593505859375,21.900390625,276.3666687011719,4326.509765625
2022-01-28,166.6743621826172,297.5878601074219,22.79460906982422,282.1166687011719,4431.85009765625
2022-01-31,171.02882385253906,300.2137145996094,24.437335968017578,312.239990234375,4515.5498046875
2022-02-01,170.8625030517578,298.0705871582031,24.58903694152832,310.4166564941406,4546.5400390625
2022-02-02,172.0660858154297,302.6078796386719,25.191835403442383,301.88665771484375,4589.3798828125
2022-02-03,169.189208984375,290.8205871582031,23.900407791137695,297.0466613769531,4477.43994140625
2022-02-04,168.90504455566406,295.3481750488281,24.270671844482422,307.7733459472656,4500.52978515625
2022-02-07,168.18980407714844,290.5309143066406,24.678857803344727,302.4466552734375,4483.8701171875
2022-02-08,171.2957000732422,294.0159912109375,25.058101654052734,307.3333435058594,4521.5400390625
2022-02-09,172.7163848876953,300.435791015625,26.651927947998047,310.6666564941406,4587.18017578125
2022-02-10,168.64048767089844,291.9114990234375,25.772680282592773,301.51666259765625,4504.080078125
2022-02-11,165.23086547851562,284.82562255859375,23.901403427124023,286.6666564941406,4418.64013671875
2022-02-14,165.46600341796875,284.7868957519531,24.218774795532227,291.9200134277344,4401.669921875
2022-02-15,169.29696655273438,290.0675964355469,26.44234275817871,307.4766540527344,4471.06982421875
2022-02-16,169.06182861328125,289.7289733886719,26.45831298828125,307.7966613769531,4475.009765625
2022-02-17,165.46600341796875,281.2451477050781,24.458293914794922,292.1166687011719,4380.259765625
2022-02-18,163.91793823242188,278.536376953125,23.595014572143555,285.6600036621094,4348.8701171875
