Date,AAPL,MSFT,NVDA,TSLA,^GSPC
2022-05-24,104132700,29043900,588550000,89092500,4923190000
2022-05-25,92482700,28547900,781132000,92139300,4802560000
2022-05-26,90601500,25002100,996575000,106003200,4709970000
2022-05-27,90978500,26910800,738379000,89295000,4375620000
2022-05-31,103718400,37827700,664100000,101914500,6822640000
2022-06-01,74286600,25292200,544514000,77247900,4531800000
2022-06-02,72348100,44008200,648656000,93473100,4405790000
2022-06-03,88570300,28059000,598779000,112393800,3711110000
2022-06-06,71598400,22400300,422406000,84204600,4332700000
2022-06-07,67808200,22860700,388914000,72808500,4248210000
2022-06-08,53950200,17372300,363252000,76210500,4159470000
2022-06-09,69473000,26439700,395574000,96491400,4134170000
2022-06-10,91437900,31422800,465248000,97536600,4889640000
2022-06-13,122207100,46135800,604153000,102767400,5636890000
2022-06-14,84784300,28651500,469680000,97988700,5153890000
2022-06-15,91533000,33111700,563936000,119131800,5530480000
2022-06-16,108123900,33169200,545749000,107390700,5644930000
2022-06-17,134520300,43084800,630334000,92641800,8520740000
2022-06-21,81000500,29928300,483089000,122793000,5292260000
2022-06-22,73409200,25939900,437135000,101107500,5058990000
2022-06-23,72433800,25861400,463680000,104202600,5098640000
2022-06-24,89116800,33923200,472153000,95770800,8120260000
2022-06-27,70207900,24615100,427968000,89178300,4325310000
2022-06-28,67083400,27295500,461149000,90391200,4270120000
2022-06-29,66242400,20069800,482352000,82897200,4211240000
2022-06-30,98964500,31730900,686070000,94600500,4840070000
2022-07-01,71051600,22837700,577610000,74460300,4046950000
2022-07-05,73353800,22941000,651397000,84581100,5076590000
2022-07-06,74064300,23824400,529066000,71853600,4417720000
2022-07-07,66253700,20859900,492903000,81930600,4057770000
2022-07-08,64547800,19658800,467972000,101854200,3521620000
2022-07-11,63141600,19455200,437321000,99241200,3423480000
2022-07-12,77588800,35868500,458483000,87930900,3817210000
2022-07-13,71185600,29497400,521918000,97954500,4109390000
2022-07-14,78140700,25102800,456235000,78557400,4199690000
2022-07-15,76259900,29774100,385935000,69683100,4143800000
2022-07-18,81420900,20975000,670517000,82537500,4046870000
2022-07-19,82982400,25012600,702366000,80890200,4041070000
2022-07-20,64823400,22788300,760538000,88864200,4185300000
2022-07-21,65086600,22404700,557049000,142032300,4132790000
2022-07-22,66675400,21881300,536671000,103472700,3979240000
2022-07-25,53623900,21056000,480748000,64073400,3568340000
2022-07-26,55138700,39348000,397865000,66820800,3778950000
2022-07-27,78620700,45994000,569776000,88110000,4112180000
2022-07-28,81378700,33459300,474646000,84723000,4413000000
2022-07-29,101786900,32152800,435460000,95313000,4616360000
2022-08-01,67829400,21539600,476469000,117042900,4202810000
2022-08-02,59907000,22754200,489527000,95577600,4727710000
2022-08-03,82507500,23518900,418146000,80091000,4351760000
2022-08-04,55474100,18098700,409652000,72256200,4283320000
2022-08-05,56697000,16774600,386068000,113172900,4085940000
2022-08-08,60276900,18739200,981859000,98994000,4221090000
2022-08-09,63135500,23405200,668263000,86244600,3913090000
2022-08-10,70170500,24687800,597422000,94918800,4546010000
2022-08-11,57149200,20065900,509327000,70155000,4630200000
2022-08-12,68039400,22619700,478094000,79657200,3788010000
2022-08-15,54091700,18085700,457666000,89359200,3696830000
2022-08-16,56377100,18102900,451240000,88136400,4329820000
2022-08-17,79542000,18253400,446799000,68766000,3885030000
